ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0045058,T cell selection,47/15173,49/18866,0.001892022,0.010739083,0.007408064,AIRE/ATG5/BATF/BCL11B/BCL2/CARD11/CCR7/CD1D/CD28/CD3D/CD3E/CD3G/CD4/CD74/CTSL/CYLD/DOCK2/FOXP3/GATA3/GLI3/IL12RB1/IL15/IL23A/IL23R/IL6/IRF4/ITPKB/JAG2/LOXL3/LY9/MTOR/PTPN2/PTPRC/RHOA/SHH/SLAMF6/SPN/SRF/STAT3/STAT6/STK11/SYK/TBX21/THEMIS/TOX/ZAP70/ZFPM1,47
GO:2000514,"regulation of CD4-positive, alpha-beta T cell activation",59/15173,63/18866,0.003026262,0.01597699,0.011021291,AGER/ANXA1/ARG2/BCL6/CBFB/CD160/CD274/CD55/CD80/CD81/CD83/CD86/FOXP3/GATA3/HLX/HMGB1/IFNG/IL12RB1/IL18/IL2/IL23A/IL23R/IL27/IL4/IL4R/IRF4/JAK3/LGALS9/LGALS9B/LGALS9C/LOXL3/MALT1/MYB/NCKAP1L/NFKBID/NFKBIZ/NLRP3/PRKCQ/PRKCZ/RARA/RC3H1/RC3H2/RIPK2/RUNX1/RUNX3/SASH3/SH3RF1/SMAD7/SOCS1/SOCS5/TARM1/TBX21/TGFBR2/TNFSF4/TWSG1/VSIR/XCL1/ZBTB7B/ZC3H12A,59
GO:0046639,negative regulation of alpha-beta T cell differentiation,25/15173,25/18866,0.004296434,0.021363831,0.014737256,ANXA1/BCL6/CBFB/FOXP3/GLI3/HLX/HMGB1/IHH/IL2/IL4/IL4R/JAK3/LOXL3/RC3H1/RC3H2/RUNX1/RUNX3/SHH/SMAD7/SOCS1/SOCS5/TBX21/TNFSF4/ZBTB7B/ZC3H12A,25
GO:0001913,T cell mediated cytotoxicity,42/15173,44/18866,0.004623247,0.022608341,0.015595747,AGER/B2M/CD1A/CD1B/CD1C/CD1D/CD1E/CEACAM1/CTSC/CTSH/CYRIB/EMP2/FADD/FCGR2B/GFUS/GZMM/HLA-A/HLA-B/HLA-E/HLA-F/HLA-G/HLA-H/HPRT1/IL12A/IL12RB1/IL23A/IL23R/IL7R/LILRB1/MICA/MR1/NECTIN2/P2RX7/PPP3CB/PRF1/PTPRC/PVR/RAB27A/RIPK3/SLC22A13/STX7/XCL1,42
GO:0002369,T cell cytokine production,41/15173,43/18866,0.005514072,0.026349964,0.018176804,ARG1/B2M/CCR2/CD55/CD81/CLC/DENND1B/DLG1/FOXP3/FZD5/GATA3/HFE/HLA-A/HLA-F/IFNB1/IL12A/IL18/IL18R1/IL18RAP/IL1B/IL1R1/IL31RA/IL4/IL6/KDELR1/MALT1/MAP3K7/NLRP3/PRKCZ/RSAD2/SASH3/SLC11A1/SMAD7/STARD7/TBX21/TNFRSF1B/TNFSF4/TRAF2/TRAF6/TRPM4/XCL1,41
GO:0070231,T cell apoptotic process,46/15173,49/18866,0.007995603,0.035960849,0.024806611,ADA/ADAM8/AKT1/ARG2/BAK1/BAX/BCL10/BCL2L11/BMP4/CCL5/CD27/CD274/CLC/DFFA/DNAJA3/DOCK8/EFNA1/FADD/FAS/FASLG/GIMAP8/GLI3/GPAM/HIF1A/IDO1/IL2RA/IL7R/JAK3/KDELR1/LGALS14/LGALS3/LGALS9/LMBR1L/NFKBID/PDCD1/PRELID1/PRKCQ/PTCRA/RAG1/RIPK1/RIPK3/SLC46A2/TP53/TSC22D3/WNT5A/ZC3H8,46
GO:0002724,regulation of T cell cytokine production,31/15173,32/18866,0.008212117,0.036320325,0.025054586,ARG1/B2M/CCR2/CD81/CLC/FOXP3/FZD5/GATA3/HFE/HLA-A/HLA-F/IFNB1/IL18/IL18R1/IL1B/IL1R1/IL6/MALT1/MAP3K7/NLRP3/PRKCZ/RSAD2/SASH3/SMAD7/TBX21/TNFRSF1B/TNFSF4/TRAF2/TRAF6/TRPM4/XCL1,31
GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",45/15173,48/18866,0.009393231,0.040779296,0.028130485,ANXA1/BCL6/CBFB/CD80/CD83/CD86/FOXP3/GATA3/HLX/HMGB1/IFNG/IL12RB1/IL18/IL2/IL23A/IL23R/IL27/IL4/IL4R/IRF4/JAK3/LGALS9/LOXL3/MALT1/MYB/NCKAP1L/NFKBID/NFKBIZ/NLRP3/PRKCZ/RARA/RC3H1/RC3H2/RIPK2/RUNX1/RUNX3/SASH3/SH3RF1/SMAD7/SOCS1/SOCS5/TBX21/TNFSF4/ZBTB7B/ZC3H12A,45
GO:2000515,"negative regulation of CD4-positive, alpha-beta T cell activation",30/15173,31/18866,0.009931438,0.04251938,0.029330835,ANXA1/ARG2/BCL6/CBFB/CD274/FOXP3/HLX/HMGB1/IL2/IL4/IL4R/JAK3/LGALS9/LGALS9B/LGALS9C/LOXL3/RC3H1/RC3H2/RUNX1/RUNX3/SMAD7/SOCS5/TARM1/TBX21/TNFSF4/TWSG1/VSIR/XCL1/ZBTB7B/ZC3H12A,30
GO:0043371,"negative regulation of CD4-positive, alpha-beta T cell differentiation",21/15173,21/18866,0.010281267,0.043303922,0.029872029,ANXA1/BCL6/CBFB/FOXP3/HLX/HMGB1/IL2/IL4/IL4R/JAK3/LOXL3/RC3H1/RC3H2/RUNX1/RUNX3/SMAD7/SOCS5/TBX21/TNFSF4/ZBTB7B/ZC3H12A,21
