"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"5_8S_rRNA",0.36528,0.354296666666667,0.781696666666667,0.530291666666667,0.445078333333333,0.53517,0.557058333333333,0.635213333333333,0.562331666666667,0.89879,0.437526666666667,0.569001666666667,0.36613
"5S_rRNA",5.42783333333333,1.67265333333333,2.167591,0.838970333333333,3.07271333333333,2.67895666666667,5.50693333333333,1.05981333333333,0,0.92708,1.26608666666667,1.31127333333333,2.71645666666667
"7SK",0.135724285714286,0,0.550811428571429,1.04103428571429,0,0.997402857142857,1.85586842857143,0.133734857142857,0.62504,0.526671428571429,0.505731428571429,0.473492428571429,1.9181
"A1BG",3.620456,2.087283,3.764533,1.639494,3.264896,4.204664,3.817458,7.193748,7.536929,3.8876958,2.235442,1.997778,3.808482
"A1BG-AS1",9.49913,4.116586,5.10439,4.96349,10.23307,7.60249,7.095302,7.407794,9.3944105,6.499663,5.6820435,5.969403,4.954699
"A1CF",0.050216603,0.019484101,0.019354001,0.058010502,0.0387051,0.025382602,0.009200831,0.051683401,0.026586002,0.037384005,0.024634704,0,0
"A2M",36.639632,40.423367,42.562249,67.06031,22.891169,33.671085,44.335379,55.98437981,18.025644,26.9692806,24.77942,41.728036,39.621263
"A2M-AS1",3.92606,1.76982,4.36168,4.91429,2.76332,6.67462,4.43354,3.60954,2.95056,6.57057,3.58926,6.98946,5.69175
"A2ML1",0.3458694,0.34054,0.43981,0.6814147,0.826601,0.112187,0.290381,0.531572,0.650377,0.331782,0.279274,0.373607,0.96243
"A2ML1-AS2",0,0.569847,1.69764,0.628966,0,0,0.544131,1.58196,0,0,1.55617,0.591703,0
"A2MP1",1.421671,5.565961,1.63108,1.271256,2.52364,1.830614,7.275214,3.101604,0.855546,3.048306,3.050466,2.679067,0.955408
"A3GALT2",0,0,0,0,0,0,0,0,0,0,0.278014,0,0
"A4GALT",0,0,0,0,0,0,0,0,0,0,0,0.19439,0
"A4GNT",0,0,0,0,0,0,0,0.349199,0,0,0,0,0
"AAAS",66.777418,52.497461,70.819397,70.72343538,74.9208489,56.279657,69.71563812,53.018137,71.08375101,72.573925,65.57487,42.213253,46.31990995
"AACS",11.408508,13.302844,11.9525344,18.770588,18.764878,14.313486,10.468331,18.37658,11.7746996,13.74756,11.769908,10.608188,10.9012
"AACSP1",0.10427,0.0367488,0.132105,0.136981,0.200859,0.263064,0.0667348,0.25189,0,0.06391,0.0440934,0.0639633,0.260939
"AADACL2-AS1",0.402681,1.11609,0,0.744079,1.28124,0.667891,0.332665,1.78896,1.88029,1.4593,0,0,1.03092
"AADACL3",0,0,0.0475491,0,0,0,0,0,0.0219427,0,0,0.0460392,0
"AADACP1",0,0,0,0,0,0,0,0.187304,0,0,0,0,0
"AADAT",0.156144,0,0.147892,0,0.153696894,0.040632046,0.138971,0.415159837,0.273377,0.140318,0,0,0
"AAGAB",53.90044092,57.675161,45.985377,70.02239,68.62186,48.01179,38.876672,47.94251,44.429511,32.756612,45.63524,46.81439,43.25957
"AAK1",20.983931,25.815507,26.421972,23.53794,25.297126,26.15814,28.302937,25.980916,35.59625,23.433547,27.458923,23.721257,28.312647
"AAMDC",14.725077,10.581721,9.577439,11.698367,8.85085,9.408438,7.6212593,12.192697,9.444943486,12.166892,6.526244,8.36778,6.719532
"AAMP",126.84851,138.54376,153.844659,149.50304,155.38464,139.267503,143.27206,123.538941,127.490117,138.0151,148.302355,124.163825,130.88806
"AANAT",0.508949,0.68775,2.3978774,0.111836,2.070759,0.59351,0.294144,1.315652,0.624686,0,0.48052,0.640471,0.2221496
"AAR2",36.47566,43.58303,41.90292,47.68971,31.943464,41.57483,30.344874,36.314379,31.87875,32.31699,33.26352,39.51378,44.9853
"AARD",0.35251,0.70894,0.576112,0.678757,0.795783,1.983381,0.3443594,1.41728,0.461614,0.724406,0.440343,0.764103,1.846482
"AARS1",31.027717,23.887175,20.535528,27.6905,30.95356,22.674645,29.860268,29.197338,22.741684,24.53886,34.61077,17.488759,23.175182
"AARS2",9.24615,8.21295,7.13226,8.62853,6.9846,6.71069,5.660007,9.465616,6.85052,6.40205,9.327964,4.94361,7.22499
"AARSD1",36.51792,55.261551,52.934183,66.809367,50.728511,59.530112,33.536262,46.36418432,45.394331,44.750073,47.8725921,40.664494,66.726924
"AARSD1P1",0,0,0,0,0,0.489022,0,0,0,0.201385,0,0,0
"AASDH",9.069058077,11.5538,17.4036009,9.9120853,16.256174,10.657523,7.866999,7.734028,8.645908691,11.0032121,10.729853,6.88477633,12.058769
"AASDHPPT",35.691145,29.908105,38.5266255,24.99204,37.357837,29.62365,28.730413,31.712469,30.902773,40.41846,29.544187,16.645586,20.079322
"AASS",5.104481,3.86106,4.49934,6.134975,5.839072,5.739357,3.6523588,7.04234,5.13564389,1.65103,2.847332,1.695248,4.997287
"AATBC",8.97333,5.47484,6.821123,4.469641,4.239384,5.899127,6.00468,6.55463,12.1514,14.37649,8.658807,6.12581,5.341903
"AATF",67.191308,82.095749,79.75081,109.298333,78.990139,69.300319,58.13734,55.776739,51.84275676,50.980505,60.21646,67.80082,58.255631
"AATK",0.287781,0.447735,0.227799,0.600972002,1.6820301,0.57291,1.0374069,0.81205,0.883281,1.901693042,0.761046,1.279659,1.182638
"ABALON",0.508914,2.44171,0.6408,1.99759,0.429666,0.376914,0.998237,1.53594,0.967228,0.850187,0.71457,0.614398,1.07076
"ABAT",10.630993,5.969414,8.80078,11.518277,8.904489,7.574296,5.63365,9.755467,5.724848,9.979037,9.18036,6.875218,9.40729
"ABCA1",7.305429,12.64031,4.657416,8.949042,8.124355,16.36784,4.318274,4.441059,4.48355,4.09424,7.31508,5.754158,5.521954
"ABCA10",0.388241,0.0375281,0.0960891,0.445905,0.155013,0.42373447,0.927108,0.50295117,0.67343,0.2344827,0.2123706,0.9837148,0.1082557
"ABCA11P",1.714652,1.544375,2.20336,4.210592,3.128391,2.90049,1.307301,1.17575,2.671988,2.055743,0.975824,0.8295882,0.868781001
"ABCA12",0,0,0,0,0.0639219,0,0,0,0,0,0,0,0.0263259
"ABCA13",0.1822964,0.729615,0.4819405,0.27305725,0.185975,0.2006311,1.909339411,1.591523936,0.1303868,0.275523,0.0959081,1.2058734,0.157769
"ABCA17P",1.50771,1.7728,3.078554,0.759528,2.21203,1.15869,2.8293535,1.25456,1.635735,1.04966,1.39387,1.10622,2.96846
"ABCA2",10.7131615,4.857431356,16.15476256,16.79804468,7.904881027,4.827312201,8.758077146,17.905066,11.69129714,12.87416366,11.03317184,6.483105334,14.872488
"ABCA3",2.238406088,0.268015,0.9714202,1.631646,1.193222,0.4393004,1.845467,0.950354007,2.94639573,1.39139869,1.139941,1.138012,0.0187856
"ABCA4",0,0,0,0,0,0,0,0.0255709,0,0,0,0,0
"ABCA5",21.5355382,20.326521,23.555258,19.852669,24.0099485,16.4165801,11.0147691,24.424212,24.750422,15.35323539,13.5216567,13.12805391,21.0103232
"ABCA6",4.676338,0.526176,0.745921,1.191045,0.286291,0.185843,1.424472,2.1473848,0.68759,1.2823966,0.5071051,0.5465477,1.0577443
"ABCA7",47.84440569,22.212438,50.3826408,51.66780578,56.80831908,31.4114651,40.213373,56.1305627,57.494935,55.78312627,51.09671633,29.118076,51.047983
"ABCA8",0.3634241,0.0306647,0.221845,0.419864,0.0914554,0.0796027,0.1909963,0.171823,0.5460775,0.298968,0.445679,0.0309702,0.19369
"ABCA9",2.6039228,4.0870491,3.394583,3.552517,2.937494,3.064257,1.461324,3.232353,2.3977809,1.997824,2.263448398,1.7964376,6.034229
"ABCA9-AS1",0.222497,0.25306,0.248224,0.285086,0,0,0,0,0.688344,0.235392,0,0,0.345357
"ABCB1",21.53899232,12.11258316,23.062779,11.796738,24.50193,14.839856,14.211151,21.209794,9.510432451,12.98787729,12.56063877,2.4214413,12.93623
"ABCB10",3.566941,4.95804,10.32578,9.093818,9.335853,5.04099,3.53009,3.479193,7.19413,7.94684,3.470464,6.988003,3.80447
"ABCB10P1",0,0,0,0,0,0,0,0,0.0410762,0,0,0,0
"ABCB11",0,0,0.0942276,0,0,0,0,0,0,0,0,0,0
"ABCB4",5.118449,0.948041,1.0783848,1.524462,3.040715667,6.394330012,1.421399,6.324507001,1.533717,1.582243,2.90220049,1.956382,5.36272254
"ABCB5",0.2158198,0.2237108,0.2472843,0.1700984,0.2724538,0.1456164,0.1654595,0.286981,0.2061114,0.13758024,0.0454405,0.136053,0.379451
"ABCB6",5.58924893,8.352817,9.095206,0.300599011,2.8126358,2.334963,5.252196,4.167193,4.5400044,5.813023731,8.524425,2.713344,2.985502
"ABCB7",33.343427,46.45225035,56.92452,44.69219,61.04034001,37.57261453,22.84322908,33.033872,37.10313123,25.419058,35.75516988,30.5736496,41.98396
"ABCB8",18.348111,12.56900178,14.757728,23.928757,22.665665,19.56084906,21.23252,20.029039,18.621493,17.442577,22.597781,13.43384,12.67199899
"ABCB9",3.2068063,1.6045801,3.381447118,4.2072193,3.93813,6.088132,3.2820628,4.430083052,2.7752816,4.554966,2.9673412,2.71244965,2.777873
"ABCC1",6.819886,4.454741,9.50405,8.558422537,8.316355,9.917423004,6.87718,8.980278004,8.16827002,8.531931281,5.124614002,9.531805,10.845063
"ABCC10",26.5771231,18.77602546,27.672314,27.718265,29.734485,26.435653,22.782057,27.51168608,19.267286,22.504282,22.92488,18.758227,29.235068
"ABCC11",0.109419,2.2588542,0.5343166,0.0264353,0.0267007,0.2834318,0,0.1046119,0.7164178,0.0746034,0.0670688,0.2836139,0.0252137
"ABCC13",0.149668,0.7539912,0.105156,1.3180797,0.327933,0.489647,1.042138,1.1878459,0.2963449,0.1756843,0.7218214,0.3593984,1.277711
"ABCC2",2.637419,1.310747,1.600179,0.77996,1.087071,0.5713063,1.798777,2.083039,2.486021,1.224293,1.411905,1.86267,2.69448
"ABCC3",19.8884894,26.7249503,15.15329038,12.006323,21.678185,11.69710319,11.5324265,37.523721,16.455577,13.70682853,20.146804,28.367604,18.61980007
"ABCC4",9.425355,6.962898,5.6326799,5.767965,4.599674,5.241238,4.463319098,11.238851,10.025464,6.193228,4.989554,6.296188,7.388645
"ABCC5",19.19540534,12.815396,19.5497183,19.062994,17.611033,14.270793,14.093846,17.371629,18.20801,13.28064742,19.35953783,15.57981,24.125931
"ABCC5-AS1",0,0,0,0,0,0,0.325546,0,0.323559,0.663314,0,0.33978,0.975163
"ABCC6",1.139528,7.848651,7.4950673,7.226559,5.707534,5.919061,3.236605,5.940302,3.448788,4.255037,2.030183912,3.287862,3.223733
"ABCC6P1",0,0.33866,0.142637,0.366217,0.189706,0,0,0,0,0.222614,0,0.235197,0.204154
"ABCC6P2",0.219185,0,0,0,0,0,0,0,0.61104,0.223193,0.685637,0,0
"ABCC9",2.74996,1.8678,3.00503,2.4601,3.02004,2.43668,1.72812,4.13229,2.22776,2.24032,1.91923,2.38213,4.18094
"ABCD1",11.416266,10.8603,10.158943,8.777523,13.601798,11.07727,12.15082,8.560362,14.127379,10.046405,10.85387,13.345495,7.31037
"ABCD1P3",0,0,0,0,0,0,0,0,0,0,0,0.219423,0
"ABCD2",4.69452,5.10736,2.8233,3.45639,3.40227,5.26535,3.49655,7.21734,6.02673,4.46365,6.17696,4.07233,4.1788
"ABCD3",19.60409,17.39694,26.071965,22.063529,15.512442,19.557432,21.390037,20.3883474,14.387904,20.7917716,16.809934,13.649162,18.474956
"ABCD4",49.474677,38.949939,41.946126,70.119178,59.09537701,54.813935,45.196481,43.95952013,59.704971,67.642265,55.734547,59.008166,63.022221
"ABCE1",42.64574081,52.867275,25.942497,40.804767,49.733679,35.94352,37.194517,37.762978,42.007455,40.077664,34.23978,24.336749,48.1723571
"ABCF1",38.46358786,33.62173,39.90534,41.58801,34.83277,31.03388,41.86216587,31.4728,29.762816,27.27881288,31.02379,37.45659,33.40054
"ABCF2",27.63315,29.521229,42.979006,39.75384,44.5944,28.29665,30.74401,31.622528,24.578476,28.327829,24.7029,23.796665,28.45529
"ABCF2P1",0,0,0,0.0534837,0,0,0,0,0.0485375,0,0,0,0
"ABCF3",52.472957,91.32277,63.420407,104.872946,78.936427,44.914015,50.250083,48.43886607,51.83807,46.27796,59.958795,42.34149786,79.20805775
"ABCG1",7.79562,10.766352,7.399073001,11.40374,22.8014,13.8069907,10.08522,13.345428,12.68490913,11.492721,11.271584,8.113186528,15.27650907
"ABCG2",0.190854,0.361156,0.780415,2.303415,0.0428133,0.8764461,0.3981337,1.053109,0.922534,0.382429,0.271449,0.175646,0.2844131
"ABCG5",0,0.25417,0.27489,0.0333366,0.209991,0.189236,0.231128,0.19921,0,0.140046,0.039198,0.0616004,0.0881991
"ABCG8",0,0,0,0,0.355674,0,0.265939,0.0368503,0.194693,0,0,0,0
"ABHD1",0.407034,7.877913,1.213226,4.842136,2.458906,1.243721,1.027696,2.31587,3.46741,6.587092,2.517629,3.13686,2.277182
"ABHD10",29.319658,45.69792,48.89883,33.157194,47.1865,28.74809,38.83485,28.36926,30.83944,43.46811,31.76281,16.60064,29.87864
"ABHD11",20.47756444,15.127409,18.04949234,20.958286,13.81928809,23.721079,17.24599159,15.53653,14.892694,20.242431,22.20702222,14.2638476,12.71022543
"ABHD11-AS1",0,0,0,0,0.262821,0.226775,0,0,0,0.489049,0,0.750885,0
"ABHD12",21.389046,51.775147,34.85235,38.857549,46.879499,20.078133,34.12085629,41.40407,37.409484,44.02755,32.705414,15.597934,46.073013
"ABHD12B",2.77589,10.85917801,6.1524526,1.7498696,7.011325,1.218413,2.406663,8.943729,0.814182,2.509957,1.46816,6.961726,6.565297
"ABHD13",12.0485,18.1053,19.2852,21.8054,16.6511,16.7941,12.8905,16.5024,11.6536,15.558,14.5536,18.5736,18.0387
"ABHD14A",31.7529,27.669802,34.210465,26.848235,36.134136,27.226012,22.098785,30.294702,32.047382,32.465829,24.349277,18.68541,28.496141
"ABHD14A-ACY1",1.192972352,2.797451,1.971561,2.112694,3.54459046,2.0008652,2.671562,0.25350358,3.662285,3.883322,2.786083,1.753360304,4.449316
"ABHD14B",72.12285,44.58777,67.443999,65.13574355,47.147606,70.789615,71.631319,67.965507,71.54516,78.300602,69.077488,69.872431,41.997744
"ABHD15",4.49515,2.63753,7.61177,4.78924,4.60952,5.92309,1.82533,4.06772,6.06402,4.83859,2.81637,4.64091,4.07483
"ABHD15-AS1",0,5.99746,2.84677,0,0,0,1.32029,0,0,0.00238231,0,0,0
"ABHD16A",91.524354,68.61108087,104.779911,95.577969,109.186547,77.734181,66.8778967,65.509719,91.70698423,81.16481407,98.0148294,74.492492,75.1748255
"ABHD16B",0,0,0,0,0,0,0.866149,0,0.359145,0,0,0.288315,0
"ABHD17A",4.3294319,2.696655,7.008779,6.551865,4.68439,3.92407,7.5342514,6.538488,12.1788255,12.77262,5.150437091,7.202570342,3.737195
"ABHD17AP1",0,0,0,0,0,0.213845,0,0,0,0.268265,0,0,0
"ABHD17AP3",0,0,0,0,0,0,0,0,0,0,0.166181,0,0
"ABHD17AP4",0,0,0,0,0,0,0,0,0,0.337155,0,0.16389,0.0875836
"ABHD17AP5",0,0,0.680637,0,0,0.46959,0.302262,0.69635,0.37429,0,0.762114,0.166719,0.324536
"ABHD17AP6",0,0,0.136092,0,0,0,0,0,0,0,0.386794,0,0
"ABHD17B",2.78292,2.31989,8.46601,10.16569,6.345531,5.44667,8.17601,13.62914,17.96265,12.45376,10.9137,10.66005,16.77508
"ABHD17C",0.451922,0,0.737463,0.690413,0.652749,0.192504393,0.0462982,0.89847,0.226183,0.405435,0.398768,0.0775314,0.583016
"ABHD18",18.56881,14.081891,21.97752,25.14138,17.99048,20.4429915,20.69450001,22.41791,15.04887,12.37251,15.428451,13.29936039,18.85782003
"ABHD2",36.39818,48.462469,39.438753,44.598669,53.43951,46.164804,47.123358,44.16133,38.066967,49.558465,45.81156,44.20269,48.206786
"ABHD3",93.777946,88.86943,86.5874,95.333582,110.677299,58.708386,75.11063,80.431524,70.263528,78.41811,94.649322,56.995518,94.29233
"ABHD4",25.61182,19.965363,26.19119,21.95391,22.094815,35.805885,15.813523,25.248772,17.86638,24.886546,27.246532,21.61643,21.65312
"ABHD5",28.178182,17.95822,38.123459,40.202452,36.035216,31.502755,28.569939,29.108898,31.435688,37.04142,35.374942,39.43658,40.933137
"ABHD6",6.769967,10.277723,17.99618,9.774722,8.627917,6.628301,6.9960969,7.126589,4.82701714,10.432681,6.123296,7.8335184,11.03545
"ABHD8",0.481104,2.015273,4.52162,2.33377,2.676682,1.644937,1.59849,3.641542,6.03451,3.67359,3.86741,1.70801,3.14237
"ABI1",142.3458628,137.9686331,161.5009912,152.402848,150.272872,143.7123516,95.57416,129.4541952,114.484418,125.434642,132.212781,100.06195,115.2985745
"ABI1P1",0,0,0,0,0,0,0,0.100672,0,0,0,0,0
"ABI2",20.161702,19.694843,27.310277,23.755643,11.0204721,20.067551,23.850767,21.387724,26.5724673,14.730697,17.89895557,17.06249402,16.3994
"ABI3",102.58552,139.93053,98.672596,98.89297,101.78923,78.43084,84.6758,70.6257,78.268526,92.263896,98.33548,85.55059,65.70092
"ABI3BP",0.8111381,1.5079948,2.05319,0.5370678,1.136723,1.1285129,2.162346,3.1007698,2.3973477,0.451298,2.7507626,0.5380786,0.1265309
"ABITRAM",42.64695,46.53738,36.82269,49.20331,35.70319,19.748012,18.824681,28.79187,31.3918,27.414532,49.82593,31.94689,29.73786
"ABITRAMP1",0,0,0.27165,0,0,0,0,0,0,0,0,0,0
"ABL1",3.9132181,3.958835,8.4321206,6.20899,5.693247,8.113865,5.2778489,6.36239,5.50422,6.894145,4.255463,4.94436,5.753658
"ABL2",2.234016,2.45955,2.4502774,1.690504,1.982259,2.569469,1.165227,4.0813478,6.2425844,2.046406,1.642785,3.551945,1.8996
"ABLIM1",127.743069,66.912899,73.918707,81.347709,105.942684,142.506708,115.34922,129.88812,150.125648,118.690685,153.72189,69.265485,133.288253
"ABLIM2",0.7446358,0.9375216,1.2460332,0.272929,0.050526,1.2200977,0.2957808,0.564075,1.431428,0.63760336,3.5331153,0.141509,0.743698
"ABLIM3",3.409734,10.764267,6.48164,3.912442,2.375693,6.472649,1.497955,7.251520004,9.69605,1.8263622,3.92919,4.137394,5.29203
"ABO",1.60018,0.332902,0.589223,5.14946,1.33307,0.729565,0.957163,4.206623,1.55982,0.909699,0.58556,2.165568,0.662226
"ABR",46.92395,31.159937,29.009384,45.157247,32.86462943,31.473235,35.698869,33.648395,28.122183,30.951101,33.20512,28.540245,34.718943
"ABRA",0,1.52241,0.442343,0.897939,1.68363,0.400437,0.577834,1.14239,0.469784,0.643202,0.609629,0.26385,1.58033
"ABRACL",75.768,60.415025,78.64383,57.3085,79.0995,63.2106,57.890881,55.34834,64.1642,73.16515,62.6196,66.01527,67.0951
"ABRAXAS1",14.886834,19.238262,13.858219,13.443702,14.63649,17.559615,15.097862,14.72415,12.415565,15.385382,15.34216,12.243825,18.912183
"ABRAXAS2",11.9709,14.9819,12.5534,9.52769,8.62317,11.5223,13.0761,14.4584,12.3025,14.8783,17.8217,6.21306,14.2135
"ABT1",32.2063,31.4604,32.6507,43.6639,39.4975,37.8992,33.9501,32.5421,30.9806,32.4967,36.0806,30.611,36.9986
"ABTB1",111.139628,109.291624,110.650571,167.157126,120.82119,131.244067,91.270744,113.933338,121.535778,123.757727,162.795814,129.911292,141.434976
"ABTB2",0.0771458,0.55967,0.20167,0.130168,0.778621,0.357123,1.40566,0.365063,1.08287,0.760569,0.37608,1.00916,0.624941
"ACAA1",166.670365,129.16629,111.69319,166.820391,158.1432818,119.456039,140.3968225,118.471387,158.361355,167.407274,173.539728,158.394602,125.517859
"ACAA2",83.038974,84.72307,104.68384,101.16718,92.929622,79.271217,65.406773,55.438332,68.77375,89.026926,99.27445,68.00961,41.44085
"ACACA",9.57723339,7.304652647,9.08467,7.303221961,14.2230898,6.514391,6.534203629,14.81093985,8.746901,7.653747688,9.1129015,7.025908018,12.341886
"ACACB",11.58350073,6.09384722,7.281436156,7.549552178,8.022005207,6.88431093,6.261592327,7.224743261,7.507998257,5.892243471,5.594051543,9.358417676,6.340272282
"ACAD10",23.10724,17.568865,34.763884,30.1879646,26.683023,26.350091,13.2876804,29.281804,28.457332,22.1375905,22.728054,16.26482603,21.139395
"ACAD11",15.50021857,15.5667801,28.699858,19.217856,28.39399,15.962884,19.33312681,17.994281,17.23610914,11.69404138,21.006471,14.75012,21.252
"ACAD8",33.817033,34.918888,61.245343,52.03001,38.638435,37.648281,35.747627,39.919939,34.03761,33.581352,45.679479,25.045681,42.121297
"ACAD9",17.676743,45.049533,25.55271,28.288251,34.624266,10.958178,27.482382,22.18578,17.284971,28.210862,34.67837,23.10151,22.045991
"ACADL",0.113249,0.110552,0.252479,0.25869,0,0.192391,0,0.109644,0,0.0991236,0.162422,0,0.302491
"ACADM",50.855433,56.014317,51.9305862,51.245337,47.165889,47.177748,47.578516,34.827884,36.256934,38.076633,49.894411,22.100317,39.633562
"ACADS",12.68546,16.57245,20.77727,21.303869,20.01834,12.90578,15.456,18.99561,16.89494,19.06805,21.95628,9.58493,18.07318
"ACADSB",25.82141,18.38343,15.61357,25.00421,29.933429,17.82182,17.8777,12.49668,14.903292,22.781559,26.553691,18.948826,20.247878
"ACADVL",233.69534,350.59526,483.053953,453.3280004,431.437245,144.3454986,241.4613833,365.0321966,316.709842,411.9923464,316.06042,151.882122,424.681448
"ACAN",0.0231449,0.155758,0.11112,0.622622,0.0945974,0.112235,0.663304,0.488518022,0.996332,0.50599,0.0284368,0.0883038,0.240279
"ACAP1",148.082165,99.03568,155.836356,139.294131,149.364155,124.38537,141.913872,150.647115,124.18829,155.260386,139.09623,88.540843,107.802112
"ACAP2",115.27647,87.860113,97.710884,104.471916,108.403221,78.229486,88.207118,116.4715181,76.386725,73.018452,80.689182,80.978362,124.686543
"ACAP2-IT1",1.3668,1.31664,3.14104,0.56367,0.187963,1.62866,2.07983,1.74745,0.512501,0.701239,0.240081,2.15173,0
"ACAP3",3.619609014,3.589066,7.8777505,4.463468,2.6305911,0.919732436,5.062068,6.186334,8.683539,9.9109351,6.3052145,2.7366891,7.826716
"ACAT1",45.514646,54.41127664,59.95166,74.623915,57.4380553,34.496451,44.678472,50.811056,31.1419349,51.263425,50.367248,38.918352,43.028465
"ACAT2",26.70969,38.36169,30.74439,41.03221,35.56393,33.4188,22.24381,24.715662,33.30515,23.7116,20.28926,18.61033,20.21421
"ACBD3",5.32712,5.96881,9.98971,8.77609,7.12465,7.86218,6.49517,8.17999,8.98378,7.28957,7.51498,5.85324,6.007681
"ACBD3-AS1",0.686311,0,0,1.19425,1.9762,0.550407,0,0.965308,0,0,0.831836,0,0.466997
"ACBD4",12.567175,11.39981301,13.358171,10.22021493,17.532246,9.897098,14.556292,14.157747,12.703581,14.776091,20.38412,5.786887,15.565764
"ACBD5",23.79693,25.635574,25.892462,29.731397,19.799035,30.57301301,22.994364,21.88732,16.9075419,18.94745828,17.178983,16.70037132,19.30181753
"ACBD6",34.137461,26.7707901,44.217367,43.6664,27.43812,34.989745,47.09669,43.448999,44.098849,37.08649,38.0379,34.048414,40.00507
"ACBD7",2.06828,3.22457,2.34997,2.08036,1.67256,0.827074,2.06868,3.5486,0.925179,1.59689,1.71551,0.920916,1.34573
"ACCS",80.979334,25.45137586,29.257371,70.61478,21.477286,26.855219,19.594192,67.404306,45.892361,61.708211,82.752,50.60892,46.431892
"ACCSL",0,0,0,0,0,0,0.355719,0.338452,0,0,0.48419,0,0
"ACD",45.436052,38.614354,34.744838,40.169231,48.294107,32.000594,28.503283,28.603916,42.91199,25.091962,36.15018,22.450695,44.78675
"ACE",2.4569519,2.952174,1.5601017,9.00098694,4.885682,1.674149,2.821409001,3.2125869,2.88060373,3.9488664,1.1821776,1.91454,2.1534422
"ACER1",0.717655,0.929975,0.615323,1.02527,1.09244,1.19548,0.651863,0.637619,0.420121,0.643508,0.316242,1.63956,3.22939
"ACER2",0.53832,0,0,0.691824,0.301907,0.565575,0.845926,0.357427,1.14089,0.848963,0.985411,0.371453,0
"ACER3",32.593014,39.12151748,34.40079412,30.485968,18.49624,38.152054,14.586382,32.672279,26.823204,25.180634,38.5815841,44.38773,30.767591
"ACHE",0,0.540974,0,0,0.972246586,0,0.334138,0,0,0.0484193,1.004681,0.0666812,0.3302717
"ACIN1",34.274976,16.99187338,20.97597,22.187909,23.641242,26.35316,47.7145007,54.545152,46.890799,51.8323054,40.664749,38.96548,29.110811
"ACKR1",1.1181107,0.699126,0.5920746,0.257615,0,0.672686,0,0,0.209183,0,0,1.250484,0
"ACKR2",1.579675,1.665739,2.016849,1.244623,0.6308779,0.915057,0.805619,2.75985,0.907078,2.217693,0.784456,0.333533,1.380974
"ACKR3",5.9525,3.09416,1.760598,4.13649,3.044139,1.862665,3.77143,2.589898,1.52145,3.508144,2.972289,2.60424,1.00713
"ACKR4",0,0.818949,0,0.309284,0.565685,0.539205,0.0959888,0.213055,0.0468998,0.402365,0.718307,0.192726,0.0694267
"ACKR4P1",0,0.333182,0,0,0,0,0,0,0,0,0,0.00834681,0
"ACLY",49.619968,63.427555,43.11622,67.911631,44.2967,47.91529,52.95912,56.950649,43.790082,48.55868,56.888902,47.954658,49.32533
"ACMSD",0,0.08073212,0.867962,0,0.866422,0.620989,0.221652,2.82503,0.261838,1.102486,0.302736,0.328373071,0
"ACO1",10.0761205,9.4603818,9.9829139,12.2651389,10.97072611,5.2618016,7.0180953,10.46146,8.90791481,7.8554462,10.8232823,6.495579,9.670476148
"ACO2",82.095552,86.650745,86.668396,71.418169,80.402935,69.37124,75.46141,59.998823,57.71518,68.423308,71.795335,68.110989,68.593744
"ACOD1",0.096492,0,1.14972,0,0,0,0.129933,0.139086,0.338468,0,0,0,0
"ACOT1",2.52372,1.91306,1.843257,4.617641,3.245087,1.407011,1.34165,1.771751,0.957659,1.36715,2.34817,0.134055,4.029779
"ACOT11",2.849137,1.60658,2.175779,2.446129,1.579471,1.731151,1.417612,3.324645,2.1791569,1.963395,1.803814,1.587517,3.364099
"ACOT12",0,0,0,0,0,0,0.354179,0,0,0,0,0,0.307023
"ACOT13",7.80911,10.07507,8.38535,6.87916,8.16704,4.89354,7.82228,6.16855,5.061447,5.30865,5.913314,5.50325,4.200347
"ACOT2",15.65451,15.86921,22.51052,26.731046,25.89655,16.7214479,14.135729,15.369418,19.730785,10.44524,11.942918,12.71868,23.629
"ACOT4",2.33748,0.580991,0.893105,4.02273,4.34496,4.40972,1.65087,3.73876,2.12224,2.74204,3.25178,0.575193,1.67537
"ACOT7",7.402067,11.6719551,6.146883,3.801071,7.199772441,5.740116,6.031522,6.741315,6.06837,4.524652,12.267006,10.88383,6.471152222
"ACOT8",41.173237,33.096829,26.424744,35.309079,44.847635,39.211366,29.79772,41.6179,41.074644,48.300958,43.16199,50.948656,36.01961
"ACOT9",72.543812,70.40188,58.26149,58.33374,59.264164,60.21621,45.639359,52.73946,48.87268,68.231379,54.8441521,54.2846,52.64107
"ACOX1",36.49806745,34.34318,21.187645,33.499215,30.74181,23.733169,28.125723,36.1288801,19.559787,21.67888,31.036526,22.852828,29.944391
"ACOX2",0.435605,1.23809,0.20278,0.562081,0.6292274,1.088925,1.158232,0.531982,0.3810069,0.586326,1.424142,1.57238,1.80814
"ACOX3",11.65131,13.69081,17.160886,9.49259563,13.43224,12.186621,9.903422,12.37871,9.679892,8.878722,12.56608,6.441667,18.11711
"ACOXL",0.687748,0.443478,0.7047332,1.492045,1.091949,0.9875437,0.655942,1.224856,0.408286,0.7442858,1.411230355,0.629653,0.280178
