"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"ENSG00000275367",1.04091,0.813706,0.886583,0.887263,0.613007,1.12925,1.38506,1.29447,1.4274,0.899555,1.11658,0.577548,1.24654
"ENSG00000275371",1.33749,1.44138,0.727687,1.01731,0.769624,0.928148,1.39472,2.16822,0.60292,1.26775,1.20968,0.437314,1.43239
"ENSG00000275372",0,0,2.91119,3.49759,1.73706,0,0,0,0,0,0,0,0
"ENSG00000275381",0.449695,1.02755,1.05201,1.93962,0.942176,0.370831,3.22245,4.2011,4.68744,1.31947,5.02502,0,1.00893
"ENSG00000275383",1.02207,0.960994,1.56125,1.12277,1.13702,0.859847,0.698527,1.0955,0.927554,1.07653,0.646968,0.915221,1.22232
"ENSG00000275389",0.207262,0.133603,0.164365,0.100083,0.300199,0.227382,0.217651,0.275262,0.151492,0.21822,0.29493,0.0953568,0.358935
"ENSG00000275390",0,1.31108,0,1.70208,0,0,0,3.50066,0,0,0,0,0
"ENSG00000275392",0.718517,0,0,0,0,0.297888,0,0,0,0.964429,0,0,0
"ENSG00000275393",2.6454,2.8254,2.49967,0,7.64725,0.976566,1.03677,5.54779,1.54068,0.526507,0.725994,1.07829,1.54073
"ENSG00000275400",4.69467,2.60324,3.81797,5.12227,10.7767,11.6668,3.50021,7.77635,4.75585,10.7383,11.4473,3.87608,0
"ENSG00000275401",0,0.530045,0,0,0,0,0,0.364741,0,0.164694,0.676088,0,0
"ENSG00000275409",0.830974,0.532691,2.09423,1.06522,3.73541,3.22258,0.977887,1.9263,3.38818,0,1.70919,2.03259,5.44101
"ENSG00000275413",3.75684,7.90264,1.42041,10.8084,5.79982,8.64456,3.89782,5.19459,3.89886,3.33549,16.7644,7.50165,16.8401
"ENSG00000275417",0,0,0,0,0,0,0,0,0.611203,0,0,0,0
"ENSG00000275418",8.91555,9.83123,3.60883,2.44432,21.0219,4.21755,14.1687,7.53892,0,5.6509,12.6676,1.1537,15.2007
"ENSG00000275426",2.30335,1.7236,1.45169,0.738393,0.246498,0,1.58346,0.762879,0.447375,2.7533,0,0,4.68924
"ENSG00000275431",0.184252,0.146225,0.0486525,1.052,0.0536102,0.0645103,0.0688603,0.0274574,0.24676,0.0230128,0.0622642,0.198249,0.156015
"ENSG00000275432",0,0,0,0,0,0,0,3.30405,0,0,0,0,2.21138
"ENSG00000275437",0.311582,0.125558,0.246781,0.675886,0.374395,0.458771,0.140105,0.258655,0.159438,0.280921,0.0949666,0.143368,0.673277
"ENSG00000275438",0,0.276324,0,0.276362,0,0,0,0.285543,0,0,0,0,0
"ENSG00000275441",0,0.933213,1.86675,0.435387,2.16819,2.0273,2.19438,0,0.837489,0.405959,0.675454,3.2441,0.632875
"ENSG00000275445",0.253793,0,0,0,0,0,0,0,1.33086,0.910085,0,0,0.664251
"ENSG00000275454",0.961296,1.12849,2.86075,2.85708,2.05561,2.84759,1.61203,4.44097,2.65555,1.46896,1.63786,1.99839,0.140815
"ENSG00000275457",0.492793,2.35102,0,0.47065,0.237095,0,0.762741,0.978322,0.538066,1.31765,0.149913,0.111713,0.639155
"ENSG00000275464",1.690196,12.328971,19.860602,18.109975,15.588389,17.418318,16.761354,19.764303,0,4.81267,31.05115,7.470845,11.451447
"ENSG00000275465",0,0,0,0.0357074,0.0356113,0.0311475,0,0.0368957,0,0.0333882,0,0.0681675,0.0960972
"ENSG00000275468",0,0,0,0,0,0,0,0,0,0,0.157798,0,0
"ENSG00000275476",0.347061,0.66733,2.2971,0,0,2.01572,0.305327,0.689601,0,0.621321,0,0,0.912066
"ENSG00000275479",1.96855,0,3.74872,0,0,0,0,0,0,0,2.39629,0,0
"ENSG00000275481",0.355522,0,0.424032,0,0,0.0251,0.106544,0.473079,0.811428,0.879529,0.325139,0.0272631,0.307338
"ENSG00000275484",0,0,0,0,0,0,0,0.308793,0,0,0,0,0
"ENSG00000275485",0,0,0,0,0,0.273671,0,0,0,0,0,0,0
"ENSG00000275488",0,0,0,0,0.150002,0.130229,0.832401,0.465146,1.22807,0.840455,0.573877,0,0
"ENSG00000275490",0,0,0,0,0,1.06577,0,1.50575,0,0,0,0,1.5303
"ENSG00000275494",0,0,2.22193,0,0,1.22071,0.777574,0.583978,0.513561,1.05301,0.362997,0.269572,1.92592
"ENSG00000275496",0,1.018712,1.029044,3.26e-07,0.632987,1.738909,0.0722395,1.07097763,2.102125,0.0609903,2.185774,1.401009,0.00999767
